family_id,application_domain,study,publication_status,supplement_source_ref,taxonomy_MT_SA_MM_T_M_A_F_AD_H,P1,P2,P3,C,E,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,principal_limitation
1,Prediction and Network Understanding,UrbanGPT: Spatio-Temporal Large Language Models,CONF,[14],MT3/SA1/MM1/T0/M0/A0/F0/AD0/H0,P,N,D,C0,E1,L,L,L,L,S,S,S,NA,Offline tasks; no provenance or deployment evidence
2,Autonomous Driving and Vehicle Interaction,DriveLM: Driving with Graph Visual Question Answering,CONF,[17],MT2/SA1/MM1/T0/M0/A0/F0/AD0/H0,D,N,D,C0,E1,L,L,L,L,S,S,L,NA,Open-loop benchmark; no closed-loop control evidence
3,Autonomous Driving and Vehicle Interaction,A Language Agent for Autonomous Driving,CONF,[18],MT1/SA3/MM2/T3/M2/A2/F3/AD2/H0,D,P,D,C3,E2,L,L,L,L,S,H,L,H,Simulation only; limited route/failure coverage
4,Autonomous Driving and Vehicle Interaction,VLM-RL: A Unified Vision Language Models and Reinforcement Learning Framework for Safe Autonomous Driving,JNL,[19],MT2/SA5/MM3/T0/M0/A0/F0/AD1/H0,D,N,D,C0,E2,L,S,L,L,S,S,L,H,Foundation-model role is training-time
5,Autonomous Driving and Vehicle Interaction,OmniDrive: A Holistic Vision-Language Dataset for Autonomous Driving with Counterfactual Reasoning,CONF,[20],MT2/SA1/MM1/T0/M0/A0/F0/AD0/H0,D,N,D,C0,E1,L,L,L,L,S,S,L,NA,No closed-loop evaluation
6,Autonomous Driving and Vehicle Interaction,Generative AI-Driven Dynamic Information Prioritization for Enhanced Autonomous Driving,JNL,[22],MT1/SA2/MM2/T0/M0/A1/F0/AD0/H2,D,P,D,C1,E1,L,S,L,S,H,S,S,S,Operational authority and failures not established
7,Autonomous Driving and Vehicle Interaction,LMDrive: Closed-Loop End-to-End Driving with Large Language Models,CONF,[27],MT4/SA1/MM1/T0/M1/A2/F3/AD2/H0,D,N,D,C3,E2,L,L,L,L,S,H,L,H,No public-road safety case or rollback evidence
8,Autonomous Driving and Vehicle Interaction,DiLu: A Knowledge-Driven Approach to Autonomous Driving with Large Language Models,CONF,[62],MT1/SA3/MM2/T3/M3/A2/F3/AD3/H0,D,N,P,C3,E2,L,S,S,S,S,H,S,H,"Interactive simulation only; no field safety case, independent monitor, calibrated uncertainty, or rollback evidence"
9,Autonomous Driving and Vehicle Interaction,Dolphins: Multimodal Language Model for Driving,CONF,[63],MT2/SA1/MM1/T0/M0/A0/F1/AD1/H0,P,N,D,C0,E1,L,L,L,L,S,S,L,NA,Offline BDD-X-centered evidence; no executed control cycle or operational safety validation
10,Autonomous Driving and Vehicle Interaction,Driving Everywhere with Large Language Model Policy Adaptation,CONF,[64],MT1/SA2/MM2/T0/M0/A1/F0/AD0/H2,D,P,D,C1,E1,L,S,L,S,H,S,S,S,Offline real-data planning and user-study evidence; recommendations are not verified closed-loop vehicle control
